Energy(eV) Total(1/s) Acoustic(1/s) IV_g_ems(1/s) IV_g_abs(1/s) IV_f_ems(1/s) IV_f_abs(1/s) II(1/s)
0.061 4.5574e+12 2.65145e+12 2.14478e+11 8.22742e+11 5.30054e+11 3.3868e+11 0
0.062 4.61677e+12 2.67615e+12 2.17005e+11 8.31102e+11 5.51142e+11 3.41369e+11 0
0.063 5.00981e+12 2.69957e+12 5.36819e+11 8.41128e+11 5.88152e+11 3.4414e+11 0
0.064 5.45449e+12 2.72609e+12 9.06554e+11 8.52845e+11 6.22096e+11 3.4691e+11 0
0.065 5.59097e+12 2.75178e+12 9.74176e+11 8.66144e+11 6.49009e+11 3.4986e+11 0
0.066 5.84416e+12 2.77622e+12 1.15952e+12 8.78713e+11 6.7662e+11 3.53094e+11 0
0.067 6.08893e+12 2.79899e+12 1.343e+12 8.88958e+11 7.01363e+11 3.56615e+11 0
0.068 6.27455e+12 2.82359e+12 1.46611e+12 8.98635e+11 7.25799e+11 3.60409e+11 0
0.069 6.45071e+12 2.85134e+12 1.57098e+12 9.08977e+11 7.55272e+11 3.64133e+11 0
0.07 6.6159e+12 2.88149e+12 1.66347e+12 9.16768e+11 7.8664e+11 3.67523e+11 0
0.071 6.77766e+12 2.90862e+12 1.7564e+12 9.24377e+11 8.17445e+11 3.70819e+11 0
0.072 6.95261e+12 2.93603e+12 1.8657e+12 9.32555e+11 8.44035e+11 3.74294e+11 0
0.073 7.12516e+12 2.96392e+12 1.97659e+12 9.41421e+11 8.65827e+11 3.77407e+11 0
0.074 7.28841e+12 2.99074e+12 2.08274e+12 9.50463e+11 8.83915e+11 3.80545e+11 0
0.075 7.44644e+12 3.01723e+12 2.18701e+12 9.5803e+11 9.00302e+11 3.83865e+11 0
0.076 7.57856e+12 3.04429e+12 2.26656e+12 9.66367e+11 9.13877e+11 3.87465e+11 0
0.077 7.69562e+12 3.07168e+12 2.32538e+12 9.74928e+11 9.32119e+11 3.91515e+11 0
0.078 7.80909e+12 3.09521e+12 2.3827e+12 9.82489e+11 9.52827e+11 3.95858e+11 0
0.079 7.8984e+12 3.11481e+12 2.41964e+12 9.90762e+11 9.72287e+11 4.00898e+11 0
0.08 8.02048e+12 3.13788e+12 2.4832e+12 9.99617e+11 9.93488e+11 4.06288e+11 0
0.081 8.15467e+12 3.162e+12 2.55597e+12 1.00824e+12 1.0173e+12 4.1115e+11 0
0.082 8.27451e+12 3.18701e+12 2.61379e+12 1.01631e+12 1.04183e+12 4.15581e+11 0
