Energy(eV) Total(1/s) Acoustic(1/s) IV_g_ems(1/s) IV_g_abs(1/s) IV_f_ems(1/s) IV_f_abs(1/s)
0.299 1.63764e+13 0 5.2147e+12 1.35422e+12 8.13113e+12 1.67639e+12
0.3 1.64242e+13 0 5.23049e+12 1.35758e+12 8.15574e+12 1.68043e+12
0.301 1.64721e+13 0 5.24629e+12 1.36094e+12 8.18035e+12 1.68448e+12
0.302 1.65199e+13 0 5.26208e+12 1.3643e+12 8.20497e+12 1.68853e+12
0.303 1.65677e+13 0 5.27788e+12 1.36767e+12 8.22959e+12 1.69258e+12
0.304 1.66156e+13 0 5.29368e+12 1.37103e+12 8.25421e+12 1.69664e+12
0.305 1.66634e+13 0 5.30949e+12 1.37439e+12 8.27884e+12 1.70069e+12
0.306 1.67113e+13 0 5.32529e+12 1.37776e+12 8.30347e+12 1.70474e+12
0.307 1.67591e+13 0 5.3411e+12 1.38113e+12 8.32811e+12 1.7088e+12
0.308 1.6807e+13 0 5.35691e+12 1.3845e+12 8.35275e+12 1.71286e+12
0.309 1.68549e+13 0 5.37272e+12 1.38787e+12 8.37739e+12 1.71692e+12
0.31 1.69028e+13 0 5.38854e+12 1.39124e+12 8.40204e+12 1.72098e+12
0.311 1.69507e+13 0 5.40435e+12 1.39461e+12 8.42669e+12 1.72505e+12
0.312 1.69986e+13 0 5.42017e+12 1.39798e+12 8.45135e+12 1.72911e+12
0.313 1.70465e+13 0 5.436e+12 1.40136e+12 8.47601e+12 1.73318e+12
0.314 1.70945e+13 0 5.45182e+12 1.40473e+12 8.50067e+12 1.73725e+12
0.315 1.71424e+13 0 5.46765e+12 1.40811e+12 8.52534e+12 1.74132e+12
0.316 1.71904e+13 0 5.48348e+12 1.41149e+12 8.55002e+12 1.74539e+12
0.317 1.72384e+13 0 5.49932e+12 1.41487e+12 8.5747e+12 1.74947e+12
0.318 1.72863e+13 0 5.51516e+12 1.41825e+12 8.59938e+12 1.75354e+12
0.319 1.73343e+13 0 5.531e+12 1.42164e+12 8.62407e+12 1.75762e+12
0.32 1.73823e+13 0 5.54684e+12 1.42502e+12 8.64877e+12 1.7617e+12
0.321 1.74303e+13 0 5.56269e+12 1.42841e+12 8.67347e+12 1.76578e+12
0.322 1.74784e+13 0 5.57854e+12 1.43179e+12 8.69817e+12 1.76986e+12
0.323 1.75264e+13 0 5.59439e+12 1.43518e+12 8.72288e+12 1.77395e+12
0.324 1.75744e+13 0 5.61025e+12 1.43857e+12 8.7476e+12 1.77803e+12
0.325 1.76225e+13 0 5.62611e+12 1.44196e+12 8.77232e+12 1.78212e+12
0.326 1.76706e+13 0 5.64198e+12 1.44535e+12 8.79705e+12 1.78621e+12
0.327 1.77187e+13 0 5.65784e+12 1.44875e+12 8.82178e+12 1.7903e+12
0.328 1.77668e+13 0 5.67372e+12 1.45214e+12 8.84652e+12 1.79439e+12
0.329 1.78149e+13 0 5.68959e+12 1.45554e+12 8.87126e+12 1.79849e+12
0.33 1.7863e+13 0 5.70547e+12 1.45894e+12 8.89601e+12 1.80258e+12
0.331 1.79111e+13 0 5.72135e+12 1.46234e+12 8.92077e+12 1.80668e+12
0.332 1.79593e+13 0 5.73724e+12 1.46574e+12 8.94553e+12 1.81078e+12
0.333 1.80075e+13 0 5.75313e+12 1.46914e+12 8.9703e+12 1.81488e+12
0.334 1.80556e+13 0 5.76903e+12 1.47255e+12 8.99508e+12 1.81899e+12
0.335 1.81038e+13 0 5.78492e+12 1.47595e+12 9.01986e+12 1.82309e+12
0.336 1.8152e+13 0 5.80083e+12 1.47936e+12 9.04465e+12 1.8272e+12
0.337 1.82002e+13 0 5.81673e+12 1.48277e+12 9.06944e+12 1.83131e+12
0.338 1.82485e+13 0 5.83265e+12 1.48617e+12 9.09424e+12 1.83542e+12
0.339 1.82967e+13 0 5.84856e+12 1.48959e+12 9.11905e+12 1.83953e+12
0.34 1.8345e+13 0 5.86448e+12 1.493e+12 9.14387e+12 1.84365e+12
0.341 1.83933e+13 0 5.8804e+12 1.49641e+12 9.16869e+12 1.84776e+12
0.342 1.84416e+13 0 5.89633e+12 1.49983e+12 9.19352e+12 1.85188e+12
0.343 1.84899e+13 0 5.91226e+12 1.50324e+12 9.21835e+12 1.856e+12
0.344 1.85382e+13 0 5.9282e+12 1.50666e+12 9.24319e+12 1.86012e+12
0.345 1.85865e+13 0 5.94414e+12 1.51008e+12 9.26804e+12 1.86424e+12
0.346 1.86349e+13 0 5.96009e+12 1.5135e+12 9.2929e+12 1.86837e+12
0.347 1.86832e+13 0 5.97604e+12 1.51693e+12 9.31776e+12 1.8725e+12
0.348 1.87316e+13 0 5.99199e+12 1.52035e+12 9.34263e+12 1.87663e+12
0.349 1.878e+13 0 6.00795e+12 1.52378e+12 9.36751e+12 1.88076e+12
0.35 1.88284e+13 0 6.02392e+12 1.5272e+12 9.3924e+12 1.88489e+12
0.351 1.88768e+13 0 6.03989e+12 1.53063e+12 9.41729e+12 1.88902e+12
0.352 1.89253e+13 0 6.05586e+12 1.53406e+12 9.44219e+12 1.89316e+12
0.353 1.89737e+13 0 6.07184e+12 1.53749e+12 9.4671e+12 1.8973e+12
0.354 1.90222e+13 0 6.08783e+12 1.54093e+12 9.49202e+12 1.90144e+12
0.355 1.90707e+13 0 6.10381e+12 1.54436e+12 9.51694e+12 1.90558e+12
0.356 1.91192e+13 0 6.11981e+12 1.5478e+12 9.54187e+12 1.90973e+12
0.357 1.91677e+13 0 6.13581e+12 1.55124e+12 9.56681e+12 1.91387e+12
0.358 1.92163e+13 0 6.15181e+12 1.55468e+12 9.59176e+12 1.91802e+12
0.359 1.92648e+13 0 6.16782e+12 1.55812e+12 9.61672e+12 1.92217e+12
0.36 1.93134e+13 0 6.18383e+12 1.56156e+12 9.64168e+12 1.92632e+12
0.361 1.9362e+13 0 6.19985e+12 1.565e+12 9.66665e+12 1.93048e+12
0.362 1.94106e+13 0 6.21588e+12 1.56845e+12 9.69163e+12 1.93463e+12
0.363 1.94592e+13 0 6.23191e+12 1.5719e+12 9.71662e+12 1.93879e+12
0.364 1.95079e+13 0 6.24794e+12 1.57534e+12 9.74162e+12 1.94295e+12
0.365 1.95565e+13 0 6.26398e+12 1.57879e+12 9.76662e+12 1.94711e+12
0.366 1.96052e+13 0 6.28003e+12 1.58225e+12 9.79164e+12 1.95127e+12
0.367 1.96539e+13 0 6.29608e+12 1.5857e+12 9.81666e+12 1.95544e+12
0.368 1.97026e+13 0 6.31213e+12 1.58915e+12 9.84169e+12 1.95961e+12
0.369 1.97513e+13 0 6.3282e+12 1.59261e+12 9.86673e+12 1.96378e+12
0.37 1.98001e+13 0 6.34426e+12 1.59607e+12 9.89178e+12 1.96795e+12
0.371 1.98488e+13 0 6.36034e+12 1.59953e+12 9.91683e+12 1.97212e+12
0.372 1.98976e+13 0 6.37641e+12 1.60299e+12 9.9419e+12 1.97629e+12
0.373 1.99464e+13 0 6.3925e+12 1.60645e+12 9.96697e+12 1.98047e+12
0.374 1.99952e+13 0 6.40859e+12 1.60992e+12 9.99205e+12 1.98465e+12
0.375 2.0044e+13 0 6.42468e+12 1.61338e+12 1.00171e+13 1.98883e+12
0.376 2.00929e+13 0 6.44078e+12 1.61685e+12 1.00422e+13 1.99301e+12
0.377 2.01418e+13 0 6.45689e+12 1.62032e+12 1.00674e+13 1.9972e+12
0.378 2.01907e+13 0 6.473e+12 1.62379e+12 1.00925e+13 2.00139e+12
0.379 2.02396e+13 0 6.48912e+12 1.62726e+12 1.01176e+13 2.00558e+12
0.38 2.02885e+13 0 6.50525e+12 1.63074e+12 1.01427e+13 2.00977e+12
0.381 2.03374e+13 0 6.52138e+12 1.63421e+12 1.01679e+13 2.01396e+12
0.382 2.03864e+13 0 6.53751e+12 1.63769e+12 1.0193e+13 2.01816e+12
0.383 2.04354e+13 0 6.55365e+12 1.64117e+12 1.02182e+13 2.02235e+12
0.384 2.04844e+13 0 6.5698e+12 1.64465e+12 1.02434e+13 2.02655e+12
0.385 2.05334e+13 0 6.58596e+12 1.64813e+12 1.02686e+13 2.03075e+12
0.386 2.05824e+13 0 6.60212e+12 1.65162e+12 1.02938e+13 2.03496e+12
0.387 2.06315e+13 0 6.61828e+12 1.6551e+12 1.0319e+13 2.03916e+12
0.388 2.06806e+13 0 6.63445e+12 1.65859e+12 1.03442e+13 2.04337e+12
0.389 2.07297e+13 0 6.65063e+12 1.66208e+12 1.03694e+13 2.04758e+12
0.39 2.07788e+13 0 6.66682e+12 1.66557e+12 1.03946e+13 2.05179e+12
0.391 2.08279e+13 0 6.68301e+12 1.66906e+12 1.04199e+13 2.056e+12
0.392 2.08771e+13 0 6.6992e+12 1.67256e+12 1.04451e+13 2.06022e+12
0.393 2.09263e+13 0 6.71541e+12 1.67605e+12 1.04704e+13 2.06443e+12
0.394 2.09755e+13 0 6.73162e+12 1.67955e+12 1.04957e+13 2.06865e+12
0.395 2.10247e+13 0 6.74783e+12 1.68305e+12 1.05209e+13 2.07288e+12
0.396 2.10739e+13 0 6.76405e+12 1.68655e+12 1.05462e+13 2.0771e+12
0.397 2.11232e+13 0 6.78028e+12 1.69005e+12 1.05715e+13 2.08132e+12
0.398 2.11725e+13 0 6.79652e+12 1.69355e+12 1.05968e+13 2.08555e+12
0.399 2.12218e+13 0 6.81276e+12 1.69706e+12 1.06222e+13 2.08978e+12
0.4 2.12711e+13 0 6.82901e+12 1.70057e+12 1.06475e+13 2.09401e+12
0.401 2.13204e+13 0 6.84526e+12 1.70408e+12 1.06728e+13 2.09825e+12
0.402 2.13698e+13 0 6.86152e+12 1.70759e+12 1.06982e+13 2.10248e+12
0.403 2.14191e+13 0 6.87779e+12 1.7111e+12 1.07235e+13 2.10672e+12
0.404 2.14685e+13 0 6.89406e+12 1.71461e+12 1.07489e+13 2.11096e+12
0.405 2.1518e+13 0 6.91034e+12 1.71813e+12 1.07743e+13 2.1152e+12
0.406 2.15674e+13 0 6.92663e+12 1.72165e+12 1.07997e+13 2.11945e+12
0.407 2.16169e+13 0 6.94292e+12 1.72517e+12 1.08251e+13 2.12369e+12
0.408 2.16664e+13 0 6.95922e+12 1.72869e+12 1.08505e+13 2.12794e+12
0.409 2.17159e+13 0 6.97553e+12 1.73221e+12 1.08759e+13 2.13219e+12
0.41 2.17654e+13 0 6.99184e+12 1.73573e+12 1.09014e+13 2.13645e+12
0.411 2.18149e+13 0 7.00816e+12 1.73926e+12 1.09268e+13 2.1407e+12
0.412 2.18645e+13 0 7.02449e+12 1.74279e+12 1.09523e+13 2.14496e+12
0.413 2.19141e+13 0 7.04082e+12 1.74632e+12 1.09777e+13 2.14922e+12
0.414 2.19637e+13 0 7.05716e+12 1.74985e+12 1.10032e+13 2.15348e+12
0.415 2.20133e+13 0 7.07351e+12 1.75338e+12 1.10287e+13 2.15774e+12
0.416 2.2063e+13 0 7.08987e+12 1.75692e+12 1.10542e+13 2.16201e+12
0.417 2.21126e+13 0 7.10623e+12 1.76045e+12 1.10797e+13 2.16628e+12
0.418 2.21623e+13 0 7.12259e+12 1.76399e+12 1.11052e+13 2.17055e+12
0.419 2.22121e+13 0 7.13897e+12 1.76753e+12 1.11307e+13 2.17482e+12
0.42 2.22618e+13 0 7.15535e+12 1.77107e+12 1.11563e+13 2.17909e+12
0.421 2.23116e+13 0 7.17174e+12 1.77462e+12 1.11818e+13 2.18337e+12
0.422 2.23613e+13 0 7.18814e+12 1.77816e+12 1.12074e+13 2.18765e+12
0.423 2.24111e+13 0 7.20454e+12 1.78171e+12 1.1233e+13 2.19193e+12
0.424 2.2461e+13 0 7.22095e+12 1.78526e+12 1.12586e+13 2.19621e+12
0.425 2.25108e+13 0 7.23737e+12 1.78881e+12 1.12842e+13 2.20049e+12
0.426 2.25607e+13 0 7.25379e+12 1.79236e+12 1.13098e+13 2.20478e+12
0.427 2.26106e+13 0 7.27022e+12 1.79592e+12 1.13354e+13 2.20907e+12
0.428 2.26605e+13 0 7.28666e+12 1.79947e+12 1.1361e+13 2.21336e+12
0.429 2.27104e+13 0 7.30311e+12 1.80303e+12 1.13867e+13 2.21765e+12
0.43 2.27604e+13 0 7.31956e+12 1.80659e+12 1.14123e+13 2.22195e+12
0.431 2.28104e+13 0 7.33602e+12 1.81015e+12 1.1438e+13 2.22625e+12
0.432 2.28604e+13 0 7.35249e+12 1.81371e+12 1.14636e+13 2.23055e+12
0.433 2.29104e+13 0 7.36896e+12 1.81728e+12 1.14893e+13 2.23485e+12
0.434 2.29605e+13 0 7.38544e+12 1.82084e+12 1.1515e+13 2.23915e+12
0.435 2.30105e+13 0 7.40193e+12 1.82441e+12 1.15407e+13 2.24346e+12
0.436 2.30606e+13 0 7.41843e+12 1.82798e+12 1.15665e+13 2.24777e+12
0.437 2.31108e+13 0 7.43493e+12 1.83155e+12 1.15922e+13 2.25208e+12
0.438 2.31609e+13 0 7.45144e+12 1.83513e+12 1.16179e+13 2.25639e+12
0.439 2.32111e+13 0 7.46796e+12 1.8387e+12 1.16437e+13 2.26071e+12
0.44 2.32612e+13 0 7.48449e+12 1.84228e+12 1.16695e+13 2.26503e+12
0.441 2.33115e+13 0 7.50102e+12 1.84586e+12 1.16952e+13 2.26935e+12
0.442 2.33617e+13 0 7.51756e+12 1.84944e+12 1.1721e+13 2.27367e+12
0.443 2.34119e+13 0 7.53411e+12 1.85302e+12 1.17468e+13 2.27799e+12
0.444 2.34622e+13 0 7.55067e+12 1.85661e+12 1.17726e+13 2.28232e+12
0.445 2.35125e+13 0 7.56723e+12 1.86019e+12 1.17985e+13 2.28665e+12
0.446 2.35629e+13 0 7.5838e+12 1.86378e+12 1.18243e+13 2.29098e+12
0.447 2.36132e+13 0 7.60038e+12 1.86737e+12 1.18501e+13 2.29531e+12
0.448 2.36636e+13 0 7.61696e+12 1.87096e+12 1.1876e+13 2.29964e+12
0.449 2.3714e+13 0 7.63356e+12 1.87456e+12 1.19019e+13 2.30398e+12
0.45 2.37644e+13 0 7.65016e+12 1.87815e+12 1.19278e+13 2.30832e+12
0.451 2.38148e+13 0 7.66677e+12 1.88175e+12 1.19537e+13 2.31266e+12
0.452 2.38653e+13 0 7.68338e+12 1.88535e+12 1.19796e+13 2.31701e+12
0.453 2.39158e+13 0 7.70001e+12 1.88895e+12 1.20055e+13 2.32135e+12
0.454 2.39663e+13 0 7.71664e+12 1.89255e+12 1.20314e+13 2.3257e+12
0.455 2.40168e+13 0 7.73328e+12 1.89616e+12 1.20574e+13 2.33005e+12
0.456 2.40674e+13 0 7.74993e+12 1.89976e+12 1.20833e+13 2.3344e+12
0.457 2.4118e+13 0 7.76658e+12 1.90337e+12 1.21093e+13 2.33876e+12
0.458 2.41686e+13 0 7.78324e+12 1.90698e+12 1.21353e+13 2.34312e+12
0.459 2.42192e+13 0 7.79991e+12 1.91059e+12 1.21613e+13 2.34748e+12
0.46 2.42699e+13 0 7.81659e+12 1.91421e+12 1.21873e+13 2.35184e+12
0.461 2.43206e+13 0 7.83328e+12 1.91782e+12 1.22133e+13 2.3562e+12
0.462 2.43713e+13 0 7.84997e+12 1.92144e+12 1.22393e+13 2.36057e+12
0.463 2.4422e+13 0 7.86667e+12 1.92506e+12 1.22653e+13 2.36494e+12
0.464 2.44728e+13 0 7.88338e+12 1.92868e+12 1.22914e+13 2.36931e+12
0.465 2.45235e+13 0 7.9001e+12 1.9323e+12 1.23175e+13 2.37368e+12
0.466 2.45743e+13 0 7.91682e+12 1.93593e+12 1.23435e+13 2.37806e+12
0.467 2.46252e+13 0 7.93356e+12 1.93955e+12 1.23696e+13 2.38243e+12
0.468 2.4676e+13 0 7.9503e+12 1.94318e+12 1.23957e+13 2.38681e+12
0.469 2.47269e+13 0 7.96704e+12 1.94681e+12 1.24218e+13 2.3912e+12
0.47 2.47778e+13 0 7.9838e+12 1.95045e+12 1.2448e+13 2.39558e+12
0.471 2.48287e+13 0 8.00057e+12 1.95408e+12 1.24741e+13 2.39997e+12
0.472 2.48797e+13 0 8.01734e+12 1.95772e+12 1.25003e+13 2.40436e+12
0.473 2.49306e+13 0 8.03412e+12 1.96135e+12 1.25264e+13 2.40875e+12
0.474 2.49816e+13 0 8.05091e+12 1.96499e+12 1.25526e+13 2.41314e+12
0.475 2.50327e+13 0 8.0677e+12 1.96863e+12 1.25788e+13 2.41754e+12
0.476 2.50837e+13 0 8.08451e+12 1.97228e+12 1.2605e+13 2.42194e+12
0.477 2.51348e+13 0 8.10132e+12 1.97592e+12 1.26312e+13 2.42634e+12
0.478 2.51859e+13 0 8.11814e+12 1.97957e+12 1.26574e+13 2.43074e+12
0.479 2.5237e+13 0 8.13497e+12 1.98322e+12 1.26837e+13 2.43514e+12
0.48 2.52882e+13 0 8.15181e+12 1.98687e+12 1.27099e+13 2.43955e+12
0.481 2.53393e+13 0 8.16865e+12 1.99052e+12 1.27362e+13 2.44396e+12
0.482 2.53905e+13 0 8.18551e+12 1.99418e+12 1.27625e+13 2.44837e+12
0.483 2.54418e+13 0 8.20237e+12 1.99784e+12 1.27888e+13 2.45279e+12
0.484 2.5493e+13 0 8.21924e+12 2.00149e+12 1.28151e+13 2.4572e+12
0.485 2.55443e+13 0 8.23611e+12 2.00515e+12 1.28414e+13 2.46162e+12
0.486 2.55956e+13 0 8.253e+12 2.00882e+12 1.28677e+13 2.46604e+12
0.487 2.56469e+13 0 8.26989e+12 2.01248e+12 1.28941e+13 2.47047e+12
0.488 2.56982e+13 0 8.2868e+12 2.01615e+12 1.29204e+13 2.47489e+12
0.489 2.57496e+13 0 8.30371e+12 2.01982e+12 1.29468e+13 2.47932e+12
0.49 2.5801e+13 0 8.32062e+12 2.02349e+12 1.29732e+13 2.48375e+12
0.491 2.58524e+13 0 8.33755e+12 2.02716e+12 1.29996e+13 2.48818e+12
0.492 2.59039e+13 0 8.35449e+12 2.03083e+12 1.3026e+13 2.49262e+12
0.493 2.59554e+13 0 8.37143e+12 2.03451e+12 1.30524e+13 2.49705e+12
0.494 2.60069e+13 0 8.38838e+12 2.03818e+12 1.30788e+13 2.50149e+12
0.495 2.60584e+13 0 8.40534e+12 2.04186e+12 1.31053e+13 2.50594e+12
0.496 2.61099e+13 0 8.42231e+12 2.04555e+12 1.31317e+13 2.51038e+12
0.497 2.61615e+13 0 8.43929e+12 2.04923e+12 1.31582e+13 2.51483e+12
0.498 2.62131e+13 0 8.45627e+12 2.05291e+12 1.31847e+13 2.51928e+12
0.499 2.62648e+13 0 8.47327e+12 2.0566e+12 1.32112e+13 2.52373e+12
0.5 2.63164e+13 0 8.49027e+12 2.06029e+12 1.32377e+13 2.52818e+12
0.501 2.63681e+13 0 8.50728e+12 2.06398e+12 1.32642e+13 2.53264e+12
0.502 2.64198e+13 0 8.5243e+12 2.06767e+12 1.32907e+13 2.53709e+12
0.503 2.64715e+13 0 8.54132e+12 2.07137e+12 1.33173e+13 2.54155e+12
0.504 2.65233e+13 0 8.55836e+12 2.07507e+12 1.33438e+13 2.54602e+12
0.505 2.65751e+13 0 8.5754e+12 2.07876e+12 1.33704e+13 2.55048e+12
0.506 2.66269e+13 0 8.59246e+12 2.08247e+12 1.3397e+13 2.55495e+12
0.507 2.66787e+13 0 8.60952e+12 2.08617e+12 1.34236e+13 2.55942e+12
0.508 2.67306e+13 0 8.62659e+12 2.08987e+12 1.34502e+13 2.56389e+12
0.509 2.67825e+13 0 8.64367e+12 2.09358e+12 1.34769e+13 2.56837e+12
0.51 2.68344e+13 0 8.66075e+12 2.09729e+12 1.35035e+13 2.57284e+12
0.511 2.68863e+13 0 8.67785e+12 2.101e+12 1.35302e+13 2.57732e+12
0.512 2.69383e+13 0 8.69495e+12 2.10471e+12 1.35568e+13 2.5818e+12
0.513 2.69903e+13 0 8.71206e+12 2.10842e+12 1.35835e+13 2.58629e+12
0.514 2.70423e+13 0 8.72918e+12 2.11214e+12 1.36102e+13 2.59077e+12
0.515 2.70944e+13 0 8.74631e+12 2.11586e+12 1.36369e+13 2.59526e+12
0.516 2.71464e+13 0 8.76345e+12 2.11958e+12 1.36636e+13 2.59975e+12
0.517 2.71985e+13 0 8.7806e+12 2.1233e+12 1.36904e+13 2.60425e+12
0.518 2.72506e+13 0 8.79775e+12 2.12702e+12 1.37171e+13 2.60874e+12
0.519 2.73028e+13 0 8.81492e+12 2.13075e+12 1.37439e+13 2.61324e+12
0.52 2.7355e+13 0 8.83209e+12 2.13448e+12 1.37707e+13 2.61774e+12
0.521 2.74072e+13 0 8.84927e+12 2.13821e+12 1.37975e+13 2.62224e+12
0.522 2.74594e+13 0 8.86646e+12 2.14194e+12 1.38243e+13 2.62675e+12
0.523 2.75117e+13 0 8.88366e+12 2.14567e+12 1.38511e+13 2.63126e+12
0.524 2.75639e+13 0 8.90086e+12 2.14941e+12 1.38779e+13 2.63577e+12
0.525 2.76163e+13 0 8.91808e+12 2.15315e+12 1.39047e+13 2.64028e+12
0.526 2.76686e+13 0 8.9353e+12 2.15689e+12 1.39316e+13 2.64479e+12
0.527 2.7721e+13 0 8.95254e+12 2.16063e+12 1.39585e+13 2.64931e+12
0.528 2.77733e+13 0 8.96978e+12 2.16437e+12 1.39854e+13 2.65383e+12
0.529 2.78258e+13 0 8.98703e+12 2.16812e+12 1.40123e+13 2.65835e+12
0.53 2.78782e+13 0 9.00429e+12 2.17186e+12 1.40392e+13 2.66288e+12
0.531 2.79307e+13 0 9.02156e+12 2.17561e+12 1.40661e+13 2.6674e+12
0.532 2.79832e+13 0 9.03883e+12 2.17937e+12 1.4093e+13 2.67193e+12
0.533 2.80357e+13 0 9.05612e+12 2.18312e+12 1.412e+13 2.67646e+12
0.534 2.80882e+13 0 9.07341e+12 2.18687e+12 1.4147e+13 2.681e+12
0.535 2.81408e+13 0 9.09072e+12 2.19063e+12 1.41739e+13 2.68553e+12
0.536 2.81934e+13 0 9.10803e+12 2.19439e+12 1.42009e+13 2.69007e+12
0.537 2.82461e+13 0 9.12535e+12 2.19815e+12 1.42279e+13 2.69461e+12
0.538 2.82987e+13 0 9.14268e+12 2.20192e+12 1.4255e+13 2.69916e+12
0.539 2.83514e+13 0 9.16002e+12 2.20568e+12 1.4282e+13 2.7037e+12
0.54 2.84041e+13 0 9.17736e+12 2.20945e+12 1.43091e+13 2.70825e+12
0.541 2.84568e+13 0 9.19472e+12 2.21322e+12 1.43361e+13 2.7128e+12
0.542 2.85096e+13 0 9.21208e+12 2.21699e+12 1.43632e+13 2.71735e+12
0.543 2.85624e+13 0 9.22946e+12 2.22076e+12 1.43903e+13 2.72191e+12
0.544 2.86152e+13 0 9.24684e+12 2.22454e+12 1.44174e+13 2.72647e+12
0.545 2.86681e+13 0 9.26423e+12 2.22831e+12 1.44445e+13 2.73103e+12
0.546 2.8721e+13 0 9.28163e+12 2.23209e+12 1.44716e+13 2.73559e+12
0.547 2.87739e+13 0 9.29904e+12 2.23587e+12 1.44988e+13 2.74015e+12
0.548 2.88268e+13 0 9.31646e+12 2.23966e+12 1.45259e+13 2.74472e+12
0.549 2.88797e+13 0 9.33389e+12 2.24344e+12 1.45531e+13 2.74929e+12
0.55 2.89327e+13 0 9.35132e+12 2.24723e+12 1.45803e+13 2.75386e+12
0.551 2.89857e+13 0 9.36877e+12 2.25102e+12 1.46075e+13 2.75844e+12
0.552 2.90388e+13 0 9.38622e+12 2.25481e+12 1.46347e+13 2.76301e+12
0.553 2.90918e+13 0 9.40369e+12 2.2586e+12 1.4662e+13 2.76759e+12
0.554 2.91449e+13 0 9.42116e+12 2.2624e+12 1.46892e+13 2.77217e+12
0.555 2.91981e+13 0 9.43864e+12 2.26619e+12 1.47165e+13 2.77676e+12
0.556 2.92512e+13 0 9.45613e+12 2.26999e+12 1.47437e+13 2.78134e+12
0.557 2.93044e+13 0 9.47363e+12 2.27379e+12 1.4771e+13 2.78593e+12
0.558 2.93576e+13 0 9.49114e+12 2.2776e+12 1.47983e+13 2.79053e+12
0.559 2.94108e+13 0 9.50866e+12 2.2814e+12 1.48256e+13 2.79512e+12
0.56 2.94641e+13 0 9.52618e+12 2.28521e+12 1.4853e+13 2.79972e+12
0.561 2.95174e+13 0 9.54372e+12 2.28902e+12 1.48803e+13 2.80431e+12
0.562 2.95707e+13 0 9.56126e+12 2.29283e+12 1.49077e+13 2.80892e+12
0.563 2.9624e+13 0 9.57882e+12 2.29664e+12 1.4935e+13 2.81352e+12
0.564 2.96774e+13 0 9.59638e+12 2.30046e+12 1.49624e+13 2.81812e+12
0.565 2.97308e+13 0 9.61395e+12 2.30428e+12 1.49898e+13 2.82273e+12
0.566 2.97842e+13 0 9.63153e+12 2.30809e+12 1.50172e+13 2.82734e+12
0.567 2.98377e+13 0 9.64912e+12 2.31192e+12 1.50447e+13 2.83196e+12
0.568 2.98911e+13 0 9.66672e+12 2.31574e+12 1.50721e+13 2.83657e+12
0.569 2.99447e+13 0 9.68433e+12 2.31956e+12 1.50996e+13 2.84119e+12
0.57 2.99982e+13 0 9.70195e+12 2.32339e+12 1.5127e+13 2.84581e+12
0.571 3.00518e+13 0 9.71957e+12 2.32722e+12 1.51545e+13 2.85043e+12
0.572 3.01053e+13 0 9.73721e+12 2.33105e+12 1.5182e+13 2.85506e+12
0.573 3.0159e+13 0 9.75485e+12 2.33489e+12 1.52095e+13 2.85969e+12
0.574 3.02126e+13 0 9.77251e+12 2.33872e+12 1.52371e+13 2.86432e+12
0.575 3.02663e+13 0 9.79017e+12 2.34256e+12 1.52646e+13 2.86895e+12
0.576 3.032e+13 0 9.80784e+12 2.3464e+12 1.52922e+13 2.87359e+12
0.577 3.03737e+13 0 9.82552e+12 2.35024e+12 1.53197e+13 2.87822e+12
0.578 3.04275e+13 0 9.84321e+12 2.35408e+12 1.53473e+13 2.88286e+12
0.579 3.04813e+13 0 9.86091e+12 2.35793e+12 1.53749e+13 2.88751e+12
0.58 3.05351e+13 0 9.87862e+12 2.36178e+12 1.54025e+13 2.89215e+12
0.581 3.05889e+13 0 9.89634e+12 2.36562e+12 1.54302e+13 2.8968e+12
0.582 3.06428e+13 0 9.91407e+12 2.36948e+12 1.54578e+13 2.90145e+12
0.583 3.06967e+13 0 9.9318e+12 2.37333e+12 1.54855e+13 2.9061e+12
0.584 3.07506e+13 0 9.94955e+12 2.37719e+12 1.55131e+13 2.91076e+12
0.585 3.08046e+13 0 9.96731e+12 2.38104e+12 1.55408e+13 2.91541e+12
0.586 3.08586e+13 0 9.98507e+12 2.3849e+12 1.55685e+13 2.92007e+12
0.587 3.09126e+13 0 1.00028e+13 2.38876e+12 1.55962e+13 2.92474e+12
0.588 3.09666e+13 0 1.00206e+13 2.39263e+12 1.5624e+13 2.9294e+12
0.589 3.10207e+13 0 1.00384e+13 2.39649e+12 1.56517e+13 2.93407e+12
0.59 3.10748e+13 0 1.00562e+13 2.40036e+12 1.56795e+13 2.93874e+12
0.591 3.11289e+13 0 1.0074e+13 2.40423e+12 1.57072e+13 2.94341e+12
0.592 3.11831e+13 0 1.00919e+13 2.4081e+12 1.5735e+13 2.94808e+12
0.593 3.12373e+13 0 1.01097e+13 2.41198e+12 1.57628e+13 2.95276e+12
0.594 3.12915e+13 0 1.01275e+13 2.41585e+12 1.57907e+13 2.95744e+12
0.595 3.13457e+13 0 1.01454e+13 2.41973e+12 1.58185e+13 2.96212e+12
0.596 3.14e+13 0 1.01632e+13 2.42361e+12 1.58463e+13 2.96681e+12
0.597 3.14543e+13 0 1.01811e+13 2.42749e+12 1.58742e+13 2.97149e+12
0.598 3.15086e+13 0 1.0199e+13 2.43138e+12 1.59021e+13 2.97618e+12
0.599 3.1563e+13 0 1.02169e+13 2.43526e+12 1.593e+13 2.98088e+12
0.6 3.16173e+13 0 1.02348e+13 2.43915e+12 1.59579e+13 2.98557e+12
0.601 3.16717e+13 0 1.02527e+13 2.44304e+12 1.59858e+13 2.99027e+12
