Energy(eV) Total(1/s) Acoustic(1/s) IV_g_ems(1/s) IV_g_abs(1/s) IV_f_ems(1/s) IV_f_abs(1/s)
0.072 4.36965e+12 0 1.12804e+12 5.95594e+11 1.87556e+12 7.7046e+11
0.073 4.457e+12 0 1.1624e+12 5.99188e+11 1.92076e+12 7.74652e+11
0.074 4.54224e+12 0 1.19556e+12 6.02775e+11 1.96507e+12 7.78837e+11
0.075 4.62559e+12 0 1.22766e+12 6.06354e+11 2.00856e+12 7.83016e+11
0.076 4.70723e+12 0 1.25883e+12 6.09925e+11 2.05128e+12 7.87188e+11
0.077 4.7873e+12 0 1.28916e+12 6.1349e+11 2.0933e+12 7.91355e+11
0.078 4.86594e+12 0 1.31874e+12 6.17047e+11 2.13464e+12 7.95515e+11
0.079 4.94325e+12 0 1.34763e+12 6.20598e+11 2.17536e+12 7.99669e+11
0.08 5.01935e+12 0 1.3759e+12 6.24142e+11 2.21549e+12 8.03817e+11
0.081 5.0943e+12 0 1.4036e+12 6.27679e+11 2.25506e+12 8.0796e+11
0.082 5.16819e+12 0 1.43078e+12 6.3121e+11 2.29411e+12 8.12097e+11
0.083 5.24109e+12 0 1.45747e+12 6.34735e+11 2.33266e+12 8.16229e+11
0.084 5.31305e+12 0 1.48371e+12 6.38253e+11 2.37074e+12 8.20355e+11
0.085 5.38414e+12 0 1.50953e+12 6.41766e+11 2.40837e+12 8.24476e+11
0.086 5.4544e+12 0 1.53495e+12 6.45272e+11 2.44558e+12 8.28592e+11
0.087 5.52387e+12 0 1.56001e+12 6.48773e+11 2.48238e+12 8.32703e+11
0.088 5.59261e+12 0 1.58473e+12 6.52269e+11 2.5188e+12 8.36809e+11
0.089 5.66065e+12 0 1.60912e+12 6.55758e+11 2.55485e+12 8.40911e+11
0.09 5.72801e+12 0 1.63321e+12 6.59243e+11 2.59055e+12 8.45007e+11
0.091 5.79475e+12 0 1.65701e+12 6.62722e+11 2.62592e+12 8.49099e+11
0.092 5.86087e+12 0 1.68053e+12 6.66196e+11 2.66096e+12 8.53187e+11
0.093 5.92642e+12 0 1.7038e+12 6.69665e+11 2.69569e+12 8.5727e+11
0.094 5.99142e+12 0 1.72681e+12 6.73129e+11 2.73013e+12 8.61349e+11
0.095 6.05589e+12 0 1.7496e+12 6.76589e+11 2.76428e+12 8.65424e+11
0.096 6.11986e+12 0 1.77216e+12 6.80043e+11 2.79816e+12 8.69495e+11
0.097 6.18334e+12 0 1.79451e+12 6.83493e+11 2.83178e+12 8.73562e+11
0.098 6.24636e+12 0 1.81665e+12 6.86939e+11 2.86514e+12 8.77625e+11
0.099 6.30893e+12 0 1.83861e+12 6.9038e+11 2.89827e+12 8.81684e+11
0.1 6.37108e+12 0 1.86037e+12 6.93817e+11 2.93115e+12 8.85739e+11
0.101 6.43281e+12 0 1.88196e+12 6.97249e+11 2.96381e+12 8.89791e+11
0.102 6.49415e+12 0 1.90338e+12 7.00678e+11 2.99625e+12 8.93839e+11
0.103 6.5551e+12 0 1.92463e+12 7.04102e+11 3.02849e+12 8.97883e+11
0.104 6.61568e+12 0 1.94572e+12 7.07523e+11 3.06051e+12 9.01924e+11
0.105 6.67591e+12 0 1.96667e+12 7.10939e+11 3.09234e+12 9.05962e+11
0.106 6.7358e+12 0 1.98747e+12 7.14352e+11 3.12399e+12 9.09997e+11
0.107 6.79535e+12 0 2.00812e+12 7.17761e+11 3.15544e+12 9.14028e+11
0.108 6.85459e+12 0 2.02865e+12 7.21167e+11 3.18672e+12 9.18056e+11
0.109 6.91352e+12 0 2.04904e+12 7.24569e+11 3.21783e+12 9.22081e+11
0.11 6.97214e+12 0 2.06931e+12 7.27968e+11 3.24876e+12 9.26103e+11
0.111 7.03048e+12 0 2.08945e+12 7.31363e+11 3.27954e+12 9.30123e+11
0.112 7.08853e+12 0 2.10948e+12 7.34755e+11 3.31016e+12 9.34139e+11
0.113 7.14632e+12 0 2.1294e+12 7.38143e+11 3.34063e+12 9.38153e+11
0.114 7.20384e+12 0 2.1492e+12 7.41529e+11 3.37095e+12 9.42164e+11
0.115 7.2611e+12 0 2.1689e+12 7.44911e+11 3.40112e+12 9.46172e+11
0.116 7.31812e+12 0 2.1885e+12 7.4829e+11 3.43116e+12 9.50178e+11
0.117 7.3749e+12 0 2.20799e+12 7.51667e+11 3.46106e+12 9.54181e+11
0.118 7.43144e+12 0 2.2274e+12 7.5504e+11 3.49083e+12 9.58181e+11
0.119 7.48776e+12 0 2.2467e+12 7.58411e+11 3.52047e+12 9.6218e+11
0.12 7.54386e+12 0 2.26592e+12 7.61779e+11 3.54998e+12 9.66176e+11
0.121 7.59974e+12 0 2.28505e+12 7.65144e+11 3.57938e+12 9.70169e+11
0.122 7.65542e+12 0 2.30409e+12 7.68507e+11 3.60865e+12 9.74161e+11
0.123 7.71089e+12 0 2.32306e+12 7.71867e+11 3.63782e+12 9.7815e+11
0.124 7.76617e+12 0 2.34194e+12 7.75224e+11 3.66687e+12 9.82137e+11
0.125 7.82125e+12 0 2.36074e+12 7.78579e+11 3.69581e+12 9.86122e+11
0.126 7.87615e+12 0 2.37947e+12 7.81932e+11 3.72465e+12 9.90105e+11
0.127 7.93087e+12 0 2.39812e+12 7.85282e+11 3.75338e+12 9.94087e+11
0.128 7.98541e+12 0 2.4167e+12 7.8863e+11 3.78201e+12 9.98066e+11
0.129 8.03978e+12 0 2.43522e+12 7.91976e+11 3.81055e+12 1.00204e+12
0.13 8.09399e+12 0 2.45366e+12 7.9532e+11 3.83899e+12 1.00602e+12
0.131 8.14803e+12 0 2.47204e+12 7.98661e+11 3.86734e+12 1.00999e+12
0.132 8.20191e+12 0 2.49035e+12 8.02001e+11 3.89559e+12 1.01396e+12
