10000
-0.4 0.4
-0.388399 8.74985e+18 4.06931e+23
-0.388319 8.77697e+18 4.08192e+23
-0.388239 8.80418e+18 4.09458e+23
-0.388159 8.83147e+18 4.10727e+23
-0.388079 8.85884e+18 4.12e+23
-0.387999 8.8863e+18 4.13277e+23
-0.387919 8.91385e+18 4.14558e+23
-0.387839 8.94148e+18 4.15843e+23
-0.387759 8.96919e+18 4.17132e+23
-0.387679 8.99699e+18 4.18425e+23
-0.387599 9.02488e+18 4.19722e+23
-0.387519 9.05286e+18 4.21023e+23
-0.387439 9.08092e+18 4.22328e+23
-0.387359 9.10906e+18 4.23637e+23
-0.387279 9.1373e+18 4.2495e+23
-0.387199 9.16562e+18 4.26267e+23
-0.387119 9.19403e+18 4.27589e+23
-0.387039 9.22253e+18 4.28914e+23
-0.386959 9.25112e+18 4.30243e+23
-0.386879 9.27979e+18 4.31577e+23
-0.386799 9.30856e+18 4.32915e+23
-0.386719 9.33741e+18 4.34257e+23
-0.386639 9.36635e+18 4.35603e+23
-0.386559 9.39538e+18 4.36953e+23
-0.386479 9.42451e+18 4.38307e+23
-0.386399 9.45372e+18 4.39666e+23
-0.386319 9.48302e+18 4.41029e+23
-0.386239 9.51242e+18 4.42396e+23
-0.386159 9.5419e+18 4.43767e+23
-0.386079 9.57148e+18 4.45142e+23
-0.385999 9.60114e+18 4.46522e+23
-0.385919 9.6309e+18 4.47906e+23
-0.385839 9.66076e+18 4.49295e+23
-0.385759 9.6907e+18 4.50687e+23
-0.385679 9.72074e+18 4.52084e+23
-0.385599 9.75087e+18 4.53486e+23
-0.385519 9.78109e+18 4.54891e+23
-0.385439 9.81141e+18 4.56301e+23
-0.385359 9.84182e+18 4.57716e+23
-0.385279 9.87233e+18 4.59134e+23
-0.385199 9.90293e+18 4.60558e+23
-0.385119 9.93363e+18 4.61985e+23
-0.385039 9.96442e+18 4.63417e+23
-0.384958 9.9953e+18 4.64853e+23
-0.384878 1.00263e+19 4.66294e+23
-0.384798 1.00574e+19 4.6774e+23
-0.384718 1.00885e+19 4.6919e+23
-0.384638 1.01198e+19 4.70644e+23
-0.384558 1.01512e+19 4.72103e+23
-0.384478 1.01826e+19 4.73566e+23
-0.384398 1.02142e+19 4.75034e+23
-0.384318 1.02459e+19 4.76506e+23
-0.384238 1.02776e+19 4.77983e+23
-0.384158 1.03095e+19 4.79465e+23
-0.384078 1.03414e+19 4.80951e+23
-0.383998 1.03735e+19 4.82442e+23
-0.383918 1.04056e+19 4.83937e+23
-0.383838 1.04379e+19 4.85437e+23
-0.383758 1.04703e+19 4.86942e+23
-0.383678 1.05027e+19 4.88451e+23
-0.383598 1.05353e+19 4.89965e+23
-0.383518 1.05679e+19 4.91484e+23
-0.383438 1.06007e+19 4.93007e+23
-0.383358 1.06335e+19 4.94536e+23
-0.383278 1.06665e+19 4.96069e+23
-0.383198 1.06996e+19 4.97606e+23
-0.383118 1.07327e+19 4.99149e+23
-0.383038 1.0766e+19 5.00696e+23
-0.382958 1.07994e+19 5.02248e+23
-0.382878 1.08328e+19 5.03805e+23
-0.382798 1.08664e+19 5.05366e+23
-0.382718 1.09001e+19 5.06933e+23
-0.382638 1.09339e+19 5.08504e+23
-0.382558 1.09678e+19 5.1008e+23
-0.382478 1.10018e+19 5.11661e+23
-0.382398 1.10359e+19 5.13247e+23
-0.382318 1.10701e+19 5.14838e+23
-0.382238 1.11044e+19 5.16434e+23
-0.382158 1.11388e+19 5.18035e+23
-0.382078 1.11733e+19 5.1964e+23
-0.381998 1.1208e+19 5.21251e+23
-0.381918 1.12427e+19 5.22867e+23
-0.381838 1.12776e+19 5.24487e+23
-0.381758 1.13125e+19 5.26113e+23
-0.381678 1.13476e+19 5.27744e+23
-0.381598 1.13827e+19 5.2938e+23
-0.381518 1.1418e+19 5.31021e+23
-0.381438 1.14534e+19 5.32667e+23
-0.381358 1.14889e+19 5.34318e+23
-0.381278 1.15245e+19 5.35974e+23
-0.381198 1.15603e+19 5.37635e+23
-0.381118 1.15961e+19 5.39302e+23
-0.381038 1.1632e+19 5.40973e+23
-0.380958 1.16681e+19 5.4265e+23
-0.380878 1.17043e+19 5.44332e+23
-0.380798 1.17405e+19 5.46019e+23
-0.380718 1.17769e+19 5.47712e+23
-0.380638 1.18134e+19 5.49409e+23
-0.380558 1.185e+19 5.51112e+23
-0.380478 1.18868e+19 5.52821e+23
-0.380398 1.19236e+19 5.54534e+23
-0.380318 1.19606e+19 5.56253e+23
-0.380238 1.19977e+19 5.57977e+23
-0.380158 1.20348e+19 5.59707e+23
-0.380078 1.20721e+19 5.61442e+23
-0.379998 1.21096e+19 5.63182e+23
-0.379918 1.21471e+19 5.64928e+23
-0.379838 1.21848e+19 5.66679e+23
-0.379758 1.22225e+19 5.68435e+23
-0.379678 1.22604e+19 5.70197e+23
-0.379598 1.22984e+19 5.71965e+23
-0.379518 1.23365e+19 5.73737e+23
-0.379438 1.23748e+19 5.75516e+23
-0.379358 1.24131e+19 5.773e+23
-0.379278 1.24516e+19 5.79089e+23
-0.379198 1.24902e+19 5.80884e+23
-0.379118 1.25289e+19 5.82685e+23
-0.379038 1.25678e+19 5.84491e+23
-0.378958 1.26067e+19 5.86302e+23
-0.378878 1.26458e+19 5.8812e+23
-0.378798 1.2685e+19 5.89943e+23
-0.378718 1.27243e+19 5.91771e+23
-0.378638 1.27637e+19 5.93606e+23
-0.378558 1.28033e+19 5.95446e+23
-0.378478 1.2843e+19 5.97291e+23
-0.378398 1.28828e+19 5.99143e+23
-0.378318 1.29227e+19 6.01e+23
-0.378238 1.29628e+19 6.02863e+23
-0.378158 1.3003e+19 6.04731e+23
-0.378078 1.30433e+19 6.06606e+23
-0.377998 1.30837e+19 6.08486e+23
-0.377918 1.31243e+19 6.10372e+23
-0.377838 1.31649e+19 6.12264e+23
-0.377758 1.32057e+19 6.14162e+23
-0.377678 1.32467e+19 6.16066e+23
-0.377598 1.32877e+19 6.17975e+23
-0.377518 1.33289e+19 6.19891e+23
-0.377438 1.33702e+19 6.21812e+23
